Years BR Data: 6
Number of Individuals in BR Data: 3000
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 225


Average HR Bias (Realized - Estimated)
"6",36.11488,-33.57856,-2.93696,26.54624,-23.99776,-4.41503999999998,8.34464000000003,49.14752,-72.1568,87.93184,42.34816,-1.10591999999997,-14.29088,15.87168,49.2128,199.64864
"7",-17.54816,-6.74079999999998,-43.69984,-81.25664,-87.44224,-111.64,-11.34784,-15.54816,-60.72768,-60.5119999999999,-81.5184,-60.3017599999999,-166.6704,-29.36768,-72.51232,-27.3504
"8",-92.6672,-47.22272,-52.96384,-47.94848,-27.05408,-71.59648,-53.53024,-54.63904,-40.73216,-46.6448,-20.45216,-74.39424,6.46624,-51.35648,-13.4752,22.6784
"9",-14.10912,-67.94016,-69.21792,21.58528,-1.25056000000001,-42.8816,-3.06016,13.37408,-35.9648,-69.10432,11.87424,28.34848,-29.664,14.05856,-41.9536,19.58592
"10",-113.25024,-117.0128,-68.792,-44.51136,-85.15424,-38.34912,-30.57184,-53.39808,-70.6608,-27.23936,-17.0144,-24.2944,-54.30912,-42.75808,-3.32480000000001,11.31328
"11",-26.2944,-31.3407999999999,81.88416,0.695039999999949,10.70944,56.3558399999999,4.01567999999997,58.65184,-7.20640000000003,-29.68832,-105.68032,38.6380799999999,-82.2454399999999,86.2659200000001,-29.32608,-41.3849600000001
"12",-20.07328,34.49952,54.66272,49.23552,97.49504,33.7161599999999,42.43136,152.94432,-44.64064,86.14112,-48.51136,52.61568,30.56512,68.93504,-44.7280000000001,110.53216
"13",-98.59808,-59.35616,-0.0736000000000558,-30.21504,-66.18336,14.73792,-44.36096,-88.23008,-108.8688,-69.0608,-78.02112,-10.07776,59.74624,-43.31392,-3.89215999999999,5.9744
"14",-22.86432,-145.46688,-90.54944,-3.63616000000002,-165.8784,-81.96736,-9.93952000000002,-105.26656,-84.83392,-161.74112,-64.33952,-97.7856,-89.37216,-40.496,-99.66432,-30.68832
"15",-81.1328,-85.23776,-111.99712,-152.66688,-103.17312,-273.48384,-147.40512,-15.94208,-81.4752,-135.89216,-121.69952,-100.62592,-200.93312,-198.76832,-176.11072,-177.93632
"16",-40.59808,-12.12704,-8.77856000000003,23.3024,42.65888,-105.30528,-74.09248,30.296,-14.60384,-88.48288,-11.504,-0.835519999999974,-94.49312,-66.00224,23.08832,43.93696
"17",13.77152,-6.02816000000001,54.67072,-40.44928,-0.858240000000023,19.94432,-53.17472,35.78976,3.45567999999997,45.11392,42.9728,7.71487999999999,33.45952,-14.45376,49.80512,39.85344
"18",-50.50272,-75.83168,-44.19904,-50.35744,23.13632,-35.19072,17.29024,-23.31168,-40.03296,-80.77024,-25.73344,-57.3872,-43.83744,-10.11744,-17.28352,-2.91391999999999
"19",-122.31104,-60.672,-95.02336,-58.91776,-46.8848,-90.3200000000001,8.5856,23.15264,-90.78784,36.77792,11.16992,-71.47776,-63.43776,-36.61728,-11.53664,-38.90688
"20",-26.28128,-6.96575999999999,-79.5008,-12.10304,-92.21728,-76.00736,-27.54272,-27.07488,-65.35776,-80.128,-28.8688,-18.78176,9.88288,-49.53408,30.54688,1.42496
"21",-94.20672,-75.02144,-130.5088,-34.71104,-70.86816,-103.29472,-166.1648,16.12416,-168.03008,-74.0796800000001,-148.58208,-45.56064,-51.19232,-44.90624,-61.1888,-119.10592
"22",-43.01792,-145.33024,-30.35904,-89.09856,-76.93472,-111.75136,-62.3948799999999,-21.56224,-78.9968,-74.34336,-32.75296,-78.6563200000001,-21.0752,-20.17376,-7.70975999999996,-48.91712
"23",-66.36032,-52.6848,6.09791999999999,-26.71072,-14.9792,-43.87424,-69.936,5.81824,-56.99648,-61.26528,-13.9683199999999,-30.67328,-68.01216,-85.0064,23.68864,-60.04928
"24",53.85568,-82.12864,34.2848,15.87456,-118.38528,-130.4528,-67.04448,-2.22368000000006,-86.6528000000001,-79.1215999999999,-65.73696,-108.87264,-62.21056,-98.2508800000001,-114.03392,-39.88672
"25",95.3436799999999,15.66656,-10.19424,4.55712000000005,-35.78624,-128.81472,-27.1244799999999,8.91168000000005,-52.14432,-67.14944,26.6928,-31.6799999999999,37.68448,-30.66848,-15.6128,57.82784


Average Bias by Year (absolute value) - N.J
"","x"
"V1",178.0824448
"V2",224.9564928
"V3",206.4112768
"V4",250.0884224
"V5",214.8802816
"V6",192.0044544
"V7",229.52512
"V8",269.7660416
"V9",181.3856384
"V10",232.3918336
"V11",236.4772224
"V12",252.6269696
"V13",235.3202176
"V14",280.1386496
"V15",302.7390464
"V16",310.334592


Real N.A
