Average Estimated HR
"mean","Age"


Average Estimated WSR
"Age","Mean"
"A",0.989533784744396
"J",0.980526200617114


Estimated N.A
"WMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"3",4.57397984221669,3.91927004803151,4.1436836983385,4.2597154901371,4.12189360455652,3.58079213563468,4.01751594224466,4.30273540597199,4.35985922864801,3.64877005576372,3.99481552995767,3.71122860101782,4.06584228665973,4.01010666206817,3.66090167094024,4.0550335374734
"4",4.66803541330887,3.4564781917569,3.75190855272488,4.22639413690564,4.36765218384826,3.29794947428073,4.33331102501025,4.19554625448908,4.2323827433299,4.07501733045709,4.3185601798799,4.01423555426561,4.44711462781045,4.39905750605479,3.73987561610965,4.42620417243293
"5",5.02932790233213,3.42331825456425,3.83079118632912,3.9180335898295,3.92575133769449,3.61859654666518,4.15088911050872,4.63876115151135,4.50751248328439,3.82527012823484,4.24304522212754,4.09870262925402,4.60828117630276,4.51061956864204,3.56937090251358,4.55420818111711
"6",4.56885263905355,3.37431856816923,3.63049146495376,4.26211364039722,3.949872587375,3.29803841254158,3.83898298005371,3.95605582209097,3.91814038046872,3.36374880230205,4.54099920170543,4.26458747566494,4.04612031698567,3.9593818428171,3.94423181172199,4.83563133657687
"7",5.26841694426505,3.96721330055394,3.78364489799233,3.91429021576424,3.99790946347123,3.58506158098379,3.52439267436012,4.16134977343469,4.22836935946792,3.71015648806437,3.69631107456446,3.59570124472311,4.03503055109007,3.81303810968409,3.38118073055121,3.74125054259456
"8",5.02399527984028,3.99102093775456,4.20669750501401,4.27913472698875,4.17240893367828,3.53310942673565,3.74157771453092,4.17020631765943,4.23804454040063,3.80470298629287,3.78665160750505,3.43018748319523,3.74851048261479,3.71205929987369,3.06854903348741,3.5879153940274
"9",4.30798955016245,3.76806392633639,3.96626216758186,4.08768008510211,4.03402591147919,3.29262610951816,3.26804619880971,3.81278138108216,3.98450996704309,3.43449148570318,3.50734091224134,3.39537385746458,3.55181205267366,3.32747670799042,2.88244687970038,3.50188149511298
"10",4.84012414877981,3.81327366993172,4.29871242998017,4.83166277807818,4.23137369895024,3.60806302703154,3.9085422955742,4.15079405153549,4.42493680306844,3.88732632838481,3.97818595905734,3.85199579864683,4.30141545977917,4.04478933060457,3.59081576839081,4.32422136396701
"11",4.65627494498569,3.36906225986154,3.73112414924725,4.1851276735309,3.85532964907399,3.49547455884714,3.48004733766286,4.03923576096794,4.20713826628173,3.71765736459254,4.19066276459177,3.65276730006032,4.4410056701281,4.47319846925073,3.63549075582067,4.24426757813463
"12",5.31838032741788,3.91602921360428,4.00992134736648,4.31204772835359,4.1265502970104,3.48155874897719,3.90615925294439,4.18064383389786,4.23216763366071,3.72643292732645,3.79434735259693,3.59059839932421,3.93875819586857,3.84115736616244,3.28261522819172,3.91714928980087
"13",4.54902257710876,3.95468524739875,3.72233636376965,3.89618270554569,3.96687439197111,3.33541225928102,3.37091791715904,3.99579827122103,4.0024206803277,3.18973335135291,3.28918490373567,3.27938648839168,3.71086648736277,3.6147741551792,2.9538947466264,3.50004284606054
"14",4.84648072786275,3.81418274536554,4.16941042424704,4.06163215982603,4.13928397958717,3.27914529863458,3.51524956362033,4.01415149338901,4.28812996552841,3.72061418028154,3.82733114051295,3.32393598235984,3.91727730344295,3.75147479711307,3.01767412424815,3.65237483394191
