"Trial","WMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
2,6,0.12658167,-0.072718296,0.172309841,-0.26047086,0.017062475,0.233472554,0.148263591,0.141553146,0.692148138,-0.430161537,-0.582613277,0.119435215,-0.018655088,0.634408489,0.048008716,-0.184011983,NA
2,7,0.351890558,0.169634367,0.982045422,-0.569111872,-1.209413357,-0.674250367,-0.7337248,-0.696303118,0.050773211,-0.605642022,0.467087252,0.151704836,-0.024268254,-1.061345647,0.167561997,-0.163018176,NA
2,8,0.168848155,0.154884164,0.168165739,0.053172546,0.006322861,-0.629751755,-0.430389385,0.179886491,0.346922449,0.268833509,0.301219947,-0.280302126,-0.282240829,0.148867262,0.527175791,0.218701925,NA
2,9,0.274790291,-0.026804757,0.230277673,-0.006802192,0.29194151,-0.209447661,0.368737826,0.120205413,0.358525542,0.172854279,0.032744434,-0.150127247,0.221119291,0.699702068,0.100155103,-0.068580781,NA
2,10,-0.191814841,0.157510165,0.291807705,-0.143445704,0.125787677,0.035772925,0.224886998,0.202621227,0.320212653,0.295291033,0.141670746,-0.311326196,0.933174388,0.470348552,-0.223955109,0.966808495,NA
2,11,-0.041861586,-0.409978001,-0.351539578,-0.233549193,0.049839225,-0.027170468,-0.165206168,0.159773363,-0.219807633,-0.140108079,0.000313477,-0.045276452,-0.080569555,-0.227425125,-0.020620634,0.003963964,NA
2,12,0.179732525,-0.2542888,-0.520166235,-0.487197129,-0.077150688,-0.028450061,-0.167734889,-0.181170064,-0.355539372,0.1445064,-0.005446889,-0.012234262,-0.13378933,-0.307518167,0.075509311,0.078834871,NA
2,13,0.109868865,-0.105268555,-0.179203957,-0.104395034,0.000493594,0.097752555,0.147884042,0.203066372,-0.041861462,-0.163746366,-0.048413009,-0.124463766,-0.006432793,0.0300162,0.077802611,0.223282802,NA
2,14,0.360586775,0.078309302,0.101002355,-0.158509815,-0.09783508,-0.019312443,0.121233378,0.366855864,0.227429302,-0.042733103,-0.015082758,0.113973641,0.362899739,0.036188891,-0.044251166,-0.249653203,NA
2,15,0.303231875,0.061489241,-0.076451798,0.518649765,-0.168989085,-0.656405952,0.084911154,0.298836506,0.362242174,-0.155502102,0.205331115,-0.485073073,-0.672793459,0.510781799,0.433959566,0.651247741,NA
2,16,0.06731683,-0.162710353,-0.250062631,-0.027082524,0.39337078,0.312943287,-0.153641723,0.002776823,0.150911962,-0.01206237,-0.055745921,-0.099473598,-0.059939738,-0.064861696,0.235451824,-0.201607165,NA
2,17,0.987870238,0.725037145,0.051277458,-0.667624841,0.336859349,-1.896748776,0.430700118,0.04488658,-1.307396816,-0.719596323,0.43897107,0.478350306,-1.217185498,0.795192488,-0.651466336,1.05021296,NA
2,18,0.281055913,-0.350149881,0.267798428,-0.233842425,-0.097072912,0.357568208,0.276286572,0.462307792,0.266880375,0.089643267,-0.053563925,0.123034619,0.204410108,-0.500584901,0.481083434,0.850640206,NA
2,19,-0.069209319,0.015691724,0.106747445,0.164466645,0.004810045,0.39213156,0.594736546,-0.00356459,-0.69734576,0.671458782,0.360714657,-0.517945598,-0.680066094,0.443774401,0.643737708,0.023103187,NA
2,20,0.251727686,-0.337893805,-0.034988344,0.131116716,0.51911062,0.528724113,-0.476053699,0.3333346,1.04032799,-0.43756234,-1.360266777,0.354823841,-0.030892246,0.476317515,1.023467227,-0.680041018,NA
2,21,0.176970697,-0.060692031,0.194009695,0.359926951,0.108322405,-0.366141848,0.265445827,0.511876334,0.445188283,-0.77413298,0.118723969,0.454532789,0.495344523,-0.106809012,0.9160072,-0.537291054,NA
2,22,-0.08864423,0.105318678,0.429138346,-0.388832058,-0.449414181,0.033200632,-0.113680416,0.159062768,-0.0788561,-0.467021784,-0.06985331,0.196498587,-0.636495141,-0.587134526,0.3562012,-0.214520666,NA
