Age,Trial,WMD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
J,2,21,-117.4838,-151.1109,-123.5145,-115.6508,-175.5187,-133.5549,-97.4179,-157.3799,-105.2325,-68.8651,-69.7666,11.6323,-165.8523,-96.0909,-25.7617,-95.1446,9.8629,
J,2,22,-0.0715,4.4505,31.6872,8.7399,-0.8729,-4.3838,20.5697,-29.9694,25.1164,24.3183,-0.095,-12.3556,13.8852,-3.1855,-13.2308,15.4213,14.8834,
J,2,23,174.1999,132.0099,139.3158,40.3536,70.644,52.0477,15.9106,73.0749,42.4672,27.2749,29.7105,27.7408,10.9742,13.4549,-1.3548,12.1059,5.3877,
J,2,24,165.7578,138.1504,179.2487,69.8406,83.5876,37.8471,42.5509,79.7749,20.0407,67.2243,19.6766,45.5586,21.9601,27.5031,-0.6622,24.7697,20.0139,
J,2,25,185.8487,232.8675,205.7812,135.1736,117.9737,180.8523,83.3291,117.7095,5.1053,42.5552,85.0316,28.5412,37.602,21.7069,38.6911,51.6485,42.0873,
A,3,1,104.7078,87.7029,103.2496,75.8982,75.9468,50.0041,54.1523,30.895,19.6407,30.1354,35.1662,22.3438,12.8227,,,,,
A,3,2,61.4834,72.6121,56.6191,46.4261,28.6478,26.921,28.1063,24.3429,26.6373,28.3564,25.4045,12.5622,10.777,,,,,
A,3,3,87.6137,98.4393,92.5835,99.8058,50.1267,51.9557,41.5196,47.5977,61.7267,56.0221,32.0573,26.0238,11.1041,,,,,
A,3,4,127.022,147.1739,94.0592,110.6132,107.4739,108.7291,86.4374,61.0432,68.0158,57.3108,43.1893,56.1293,39.5175,,,,,
A,3,5,131.5189,132.1385,156.2712,107.5144,84.6241,95.6823,72.8882,58.1965,50.7465,44.7307,32.2816,23.9788,26.1801,,,,,
A,3,6,124.3587,98.9512,46.5953,38.6742,54.6332,45.783,39.4546,49.7446,35.2649,35.2298,40.225,25.2503,30.6834,,,,,
A,3,7,67.5448,29.6021,37.5699,43.9601,32.1513,37.1581,19.6194,17.3133,19.5743,12.4487,16.2423,9.5337,7.1111,,,,,
A,3,8,15.773,16.4041,41.8827,25.26,57.8018,56.5768,30.0395,43.4421,36.4277,54.946,21.4619,34.1644,23.941,,,,,
A,3,9,29.6695,69.423,39.2548,57.5267,43.5575,62.6864,97.3592,37.9315,73.5427,72.7998,72.3714,43.5028,60.0553,,,,,
A,3,10,83.827,101.7329,94.5952,75.3531,68.9533,71.3888,68.5291,70.4412,55.9649,62.8884,55.7245,29.6816,69.5352,,,,,
A,3,11,115.5241,105.1041,74.2307,98.8943,88.2378,105.512,80.4044,92.4005,51.0236,85.4131,57.2389,86.936,55.2474,,,,,
A,3,12,24.0351,13.1641,12.4352,25.0167,38.4463,18.5234,16.4139,33.0554,22.1548,5.1774,13.3489,7.0286,6.2538,,,,,
A,3,13,109.3253,103.1324,87.1591,48.1756,49.0682,63.8344,35.5335,27.0161,45.0673,30.4502,27.4007,24.5169,24.1395,,,,,
A,3,14,19.9753,3.0631,28.0216,19.1475,24.801,34.0872,20.5116,15.9276,9.2881,7.3085,22.1778,25.7848,37.0565,,,,,
A,3,15,27.8351,-10.0699,-5.0159,19.8287,15.9588,22.2608,21.8896,12.1636,24.4878,12.1629,17.5533,21.0362,19.4528,,,,,
A,3,16,63.1965,30.8194,54.1196,50.5321,50.0788,42.4143,59.3001,53.346,41.5157,14.5133,25.4457,40.8208,32.7681,,,,,
A,3,17,110.368,85.9917,81.9927,129.7119,89.656,127.1815,54.1305,84.8032,73.5236,86.9211,82.0152,55.794,77.1698,,,,,
A,3,18,-67.3443,-73.5917,-32.2052,-36.3838,-35.5215,-24.701,-34.7989,-139.3985,-43.062,-62.1517,-87.4074,-48.9236,-81.7427,,,,,
A,3,19,21.1981,36.9779,32.2144,-7.1769,11.5868,7.0749,-3.8267,31.2228,60.6388,40.6095,48.052,-0.3475,47.6735,,,,,
A,3,20,56.0109,48.3536,38.8632,73.0855,11.6198,30.6205,24.7345,19.542,-17.2842,36.1201,53.7865,43.5619,47.908,,,,,
A,3,21,31.8822,17.9354,34.3478,45.7457,37.8826,41.5254,46.9,39.6327,34.5399,27.0635,11.1645,19.994,23.0221,,,,,
A,3,22,77.0706,59.4829,26.9236,84.6154,107.2258,95.3302,70.4952,52,83.3901,80.2009,88.8941,49.1094,14.6789,,,,,
A,3,23,-859.5038,-1024.5833,-1095.4717,-1264.1546,-1213.8661,-1367.0912,-1605.9478,-1789.7757,-1992.6962,-1945.8017,-2060.9965,-2355.0693,-2182.7822,,,,,
A,3,24,-18.8229,-43.887,-33.2878,-40.5745,-30.1831,-7.2494,-44.8399,-76.8785,-76.0328,-62.8118,-47.9465,-32.1003,-78.2831,,,,,
A,3,25,67.3341,25.1512,37.9816,82.8643,19.3772,52.4765,81.1113,55.2342,61.7854,43.5504,22.962,36.4514,20.8095,,,,,
J,3,1,229.6427,215.0864,173.9852,197.0755,74.2635,125.7245,67.3035,107.3992,87.0044,54.0811,67.1537,32.0019,56.8408,,,,,
J,3,2,213.8088,133.4485,162.9236,91.7111,86.2872,68.3681,57.1643,48.7064,23.4874,64.8892,30.3207,40.5615,36.5698,,,,,
J,3,3,246.9389,203.7022,236.9073,96.7508,96.2202,116.9814,124.509,139.4534,148.8153,36.4636,76.5966,43.0378,59.3444,,,,,
J,3,4,270.3551,243.7877,249.8065,206.78,230.664,144.9672,117.1723,139.9834,160.6356,77.8737,108.6284,96.137,84.4017,,,,,
J,3,5,236.6443,312.6765,178.683,278.5959,226.9101,152.1263,112.1604,109.81,123.5602,60.1478,40.1556,107.9413,82.4418,,,,,
J,3,6,165.0869,154.1608,124.357,139.2058,126.663,105.7852,132.0918,55.8465,74.9978,85.1167,69.3629,84.8335,88.9779,,,,,
J,3,7,63.4396,84.5766,123.1383,54.1499,111.8397,57.691,55.7972,60.095,38.3353,58.0285,8.2022,30.2667,14.6859,,,,,
J,3,8,-3.7457,44.4771,0.4316,70.5145,46.4963,17.5958,28.8153,18.9166,111.0135,-11.6844,107.7603,1.434,-5.131,,,,,
J,3,9,159.6849,11.7507,41.7888,46.5113,85.8795,165.1654,29.3765,66.4905,36.2028,71.6223,-22.0669,104.6016,46.3362,,,,,
J,3,10,160.9014,129.0932,115.1757,152.8811,123.3769,147.2846,148.5633,83.8213,90.9015,78.8145,73.5652,138.5902,63.3476,,,,,
J,3,11,99.778,105.6621,161.2579,197.4323,202.0352,135.3562,130.5316,79.1727,130.4927,74.0985,164.1804,13.7611,149.9959,,,,,
J,3,12,8.2396,47.4544,67.1773,40.0743,6.3662,43.513,85.6763,34.4289,2.0415,42.0376,24.4729,30.3951,-3.224,,,,,
J,3,13,245.2992,210.2127,133.2884,190.4041,136.7015,61.397,88.9309,67.8686,54.1984,86.6693,88.5191,48.6751,62.8737,,,,,
J,3,14,50.1704,85.2525,58.2967,77.4132,20.1343,61.8822,21.0756,47.0808,37.3694,59.3271,64.0053,85.3598,67.911,,,,,
J,3,15,-45.2259,-30.3159,35.2209,-8.705,72.1334,18.2877,49.792,-3.0779,-12.1335,33.0567,-11.2431,26.1141,-27.5554,,,,,
J,3,16,-33.0111,126.5872,33.9329,48.8996,105.4421,131.3853,72.905,79.7043,29.4706,79.9722,92.4979,62.7416,34.9162,,,,,
J,3,17,92.3616,148.1206,199.6078,99.2048,246.3049,63.0219,134.7663,62.8464,127.248,115.1443,78.4636,146.6226,204.496,,,,,
J,3,18,-227.2748,-241.8613,-243.4296,-249.9616,-200.1577,-299.1003,-471.2415,-103.969,-333.3125,-426.7999,-332.4919,-419.6598,-73.0998,,,,,
J,3,19,-22.7634,-6.3475,-94.3435,25.8683,-60.1989,-70.4008,39.713,-17.8615,-52.6024,-43.8432,-97.0162,9.5194,-3.3712,,,,,
J,3,20,-11.5772,-43.0057,31.6545,-107.2169,0.1351,-11.2779,-34.9011,-170.4642,29.382,31.6999,-9.6552,5.1482,2.1598,,,,,
J,3,21,74.2854,128.7712,51.9847,30.3012,74.085,100.5029,66.5793,65.2131,102.4759,10.1513,60.3862,47.0212,41.1047,,,,,
J,3,22,139.9666,-58.139,188.9199,178.8104,166.1866,102.7167,71.5587,147.2864,98.5655,158.5395,83.5081,-37.6282,118.0599,,,,,
J,3,23,-2226.7443,-2408.1861,-2698.4371,-2450.1357,-2975.9698,-3464.8076,-3751.1973,-4025.9073,-3863.1321,-4183.5434,-5142.3035,-4537.0644,-5354.5409,,,,,
J,3,24,-142.6943,-140.5656,-123.5608,-188.8814,-23.3915,-244.8101,-207.9133,-215.7052,-143.304,-254.3207,-219.9724,-325.4209,-228.6343,,,,,
J,3,25,-46.2233,39.6637,123.6381,-126.7119,69.0235,164.8161,-1.4255,76.7045,47.1674,3.3412,58.9089,-34.5899,-32.1535,,,,,
A,4,1,-2.8285,14.2221,-25.6585,-48.9516,-64.4207,-73.2446,-62.6365,-47.4714,-44.9026,-32.3196,-10.4044,5.4043,-2.6454,,,,,
A,4,2,19.659,-6.8095,-4.2753,2.6092,-19.33,-19.7547,-4.3551,21.7641,-12.0847,26.0256,3.0734,3.4145,-2.9409,,,,,
A,4,3,36.1237,20.4256,34.6893,21.0549,12.0904,2.9314,10.2172,-0.736,16.5774,27.7413,11.1683,-4.8784,-1.6837,,,,,
A,4,4,-60.8603,-104.7072,-85.6709,-82.5143,-81.85,-96.6888,-95.5795,-25.1626,-12.204,-5.1335,-68.0368,-102.7009,-60.7645,,,,,
A,4,5,-17.1681,5.4994,9.2781,-34.9745,-31.9521,-36.4643,-28.728,-24.827,-19.073,-22.3326,-15.5409,28.6288,13.2903,,,,,
