Age,Trial,WMD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,3,17,-173.40224,-43.31648,-224.85728,-154.62496,-61.4176,-61.45344,-118.16576,-160.06208,-133.08864,-67.34368,-44.03328,-71.17984,-153.85216,-65.30944,-84.36448,-59.608,
A,3,18,-27.89632,-9.2976,-48.95392,-44.91648,-30.56576,-23.82816,6.26944,-9.19616,-18.64288,-28.7264,-19.47296,9.83136,2.6432,-3.39392,-11.09888,-3.33312,
A,3,19,19.80192,-6.20064,-28.25824,-6.61856,12.10848,3.28992,8.61536,11.98752,1.0496,6.22048,5.58208,-3.832,-1.63424,6.9824,1.81152,3.63712,
A,3,20,-85.50592,-55.4224,-63.00384,-20.112,11.55584,-17.70752,-62.0816,-6.51456,-39.08416,-52.76352,-9.36064,6.3104,9.44672,-22.13376,-19.27104,-8.68064,
A,3,21,22.22944,-5.8768,0.4016,-9.23424,17.46784,19.87744,20.4384,-8.99936,2.01408,9.704,12.2496,19.21664,4.77152,1.61888,0.57248,9.94048,
A,3,22,-31.13024,-14.472,-6.74496,5.87488,-0.06752,-9.02048,-10.86432,1.35392,-9.392,-35.82112,-14.90624,-31.43872,-24.33344,-30.7088,-33.0368,-11.47552,
A,3,23,2.74816,-23.78016,-55.5552,-54.10912,-32.03808,-23.34432,-19.4336,-42.41152,-34.24896,10.12064,-19.81792,-8.50432,-16.73856,-20.9344,-20.3296,-1.4096,
A,3,24,-57.15232,-68.72064,-98.5072,-68.62624,-5.5136,-11.20256,-37.13056,-39.21888,-45.6416,-34.51136,-41.37696,-7.82688,1.22048,-3.92544,1.76832,2.33376,
A,3,25,-346.76864,-135.22112,-243.0496,-125.90144,-109.96416,-83.83456,-107.00256,-104.49568,-41.88864,-62.98784,-113.33696,-83.44544,-66.3584,-98.91072,-76.83936,-43.34592,
J,3,1,195.01184,107.78912,219.76352,134.24736,169.59616,72.87136,82.95456,85.84224,79.7776,60.75648,34.81696,84.176,38.86912,30.6944,31.05472,-22.67776,
J,3,2,193.82976,125.63008,142.42144,123.70976,111.86368,90.66688,67.29792,23.60512,46.5472,17.00384,52.13536,43.76448,29.83776,2.11552,6.63168,-24.6336,
J,3,3,85.82112,183.33664,200.67904,246.32128,101.816,132.9744,67.20896,89.51328,37.25696,35.50848,31.0288,7.75744,12.69504,17.4944,-2.68288,-6.7712,
J,3,4,72.07456,254.35104,113.15424,156.32448,164.272,67.26336,18.4496,122.9072,70.21856,44.67264,46.98112,41.87488,37.67264,16.40128,13.30144,22.85472,
J,3,5,207.25024,8.99968,121.83616,85.51872,72.02912,56.03008,24.74144,44.77952,7.06944,43.9008,47.45344,-4.14688,3.0704,65.46688,25.35296,5.94624,
J,3,6,49.27552,266.33344,115.99776,140.312,-4.01248,118.25536,117.42112,87.43072,145.5808,17.14208,61.65408,62.6912,94.48064,42.65408,57.88608,56.032,
J,3,7,111.04032,305.06944,117.22016,223.0544,130.70912,95.73152,123.5408,59.0848,83.93088,59.92736,-4.89824,36.80192,6.3248,18.72864,17.2576,20.96128,
J,3,8,98.38656,29.50752,58.54784,18.59872,36.96576,13.33856,19.968,14.31712,10.36448,-4.15392,5.33216,5.43296,0.61536,4.62528,0.7632,-2.59616,
J,3,9,12.16352,82.52512,41.60768,36.28096,52.00128,54.94112,33.25952,15.54592,23.22528,6.28128,23.77984,8.87648,-13.736,10.00192,15.95808,8.11424,
J,3,10,-7.87168,86.68,79.13984,77.69344,40.09056,101.14976,41.84864,36.872,31.88288,19.27456,25.66752,21.44128,-33.49344,31.69792,18.6416,15.69728,
J,3,11,143.6176,58.18144,28.04192,125.42208,83.12384,33.17888,68.69632,43.00704,51.38112,73.04096,13.25216,58.45248,0.23744,-19.35968,14.46784,21.00224,
J,3,12,19.24512,343.62048,171.75904,170.87424,246.18112,155.21024,73.86656,109.46016,53.22624,80.64352,78.12448,47.29952,54.31616,13.24096,61.46144,-22.4496,
J,3,13,226.79232,428.23104,254.15552,313.728,197.31904,229.7056,155.45696,60.7904,79.14688,87.67456,58.00736,82.224,43.22208,18.24256,67.38752,43.75904,
J,3,14,105.15328,218.92224,146.17888,126.13408,127.68384,61.38112,39.5776,30.64448,33.0384,41.37216,32.82688,0.928,12.1312,12.0688,22.0688,11.68512,
J,3,15,117.49792,13.01728,75.07584,32.62272,21.75296,26.06976,42.13248,67.23072,-29.62112,24.89216,22.6112,-13.05472,8.0384,24.22688,-11.77056,27.6896,
J,3,16,52.45664,250.70656,79.81568,216.94048,151.344,121.07456,126.95456,72.54368,77.5088,47.14336,18.90272,66.99648,61.47712,25.87104,11.14048,37.96928,
J,3,17,105.4464,-366.02816,-101.53088,38.13152,-88.73056,-93.78592,-226.98016,-79.2016,-40.68928,9.87296,-48.39648,-261.96384,27.5984,-89.49696,-42.82528,38.19808,
J,3,18,-45.04704,-51.19392,-47.25312,-2.05152,9.09056,95.95904,-3.24224,-11.02048,-22.88928,11.928,70.3904,35.29536,-29.72768,7.6112,10.25568,31.9552,
J,3,19,-6.21152,42.8704,55.27584,62.55104,12.23008,34.2544,41.64896,6.62688,19.15488,21.67648,-3.8064,6.01888,22.47072,-7.98976,17.9424,0.88,
J,3,20,80.89536,182.15584,136.73728,191.94016,81.63616,43.95744,195.76992,58.77056,2.46624,97.16128,61.9008,82.68864,24.90272,26.90368,56.44736,41.49792,
J,3,21,88.90272,68.94208,37.87104,123.05632,102.26976,59.24,58.01824,55.66368,51.5936,20.90592,46.90368,10.91104,28.19392,24.39264,15.33344,28.05728,
J,3,22,-14.2624,13.34528,10.23232,-8.87136,-28.66976,4.98112,13.45344,-32.79488,-62.23328,21.16736,-44.17632,-18.88224,-53.27392,-34.88448,36.84384,11.5296,
J,3,23,38.43776,-87.89792,-92.256,-16.17568,60.99904,33.14016,-95.58368,1.28096,82.63744,-10.16,14.72736,-14.43136,-21.07296,-19.55936,8.9632,-62.1152,
J,3,24,48.44576,-51.18048,64.38592,126.87616,30.34624,34.104,24.45792,30.17472,29.51136,-6.11232,55.41472,36.1392,-1.43392,16.11968,36.9456,13.59296,
