Age,Model,Trial,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
A,K,1,5,198.75168,84.69824,141.63968,103.12096,119.05536,83.84768,111.55488,82.7456,81.4624,61.42816,48.38368,36.45664,38.42176,26.83072,43.72864,36.45632
A,K,1,6,-277.44864,-234.01568,-337.07584,-289.1376,-347.2576,-398.22464,-445.37856,-405.47616,-441.72,-487.7232,-527.1712,-554.992,-595.42528,-672.08288,-666.848,-652.97472
A,K,1,7,-28.4592,-97.61088,-77.67872,-62.18176,-69.952,-95.64096,-82.54976,-77.86368,-61.90944,-103.1424,-79.54688,-71.88288,-97.50752,-106.14336,-91.6112,-106.04864
A,K,1,8,234.81216,79.40064,151.87488,101.89472,133.29152,103.59072,96.43808,80.82528,78.59264,73.52736,59.86016,76.47456,58.93184,58.74944,61.4688,87.19808
A,K,1,9,138.42912,129.68,126.92672,118.31424,124.18624,128.69536,107.86208,106.76128,103.5968,67.71584,71.29152,92.37792,62.05952,65.54496,77.53056,64.60384
A,K,1,10,97.8736,73.70272,104.31488,77.28192,96.87712,77.41952,68.5216,60.73888,72.74016,53.19744,54.4592,42.4896,48.22752,50.06784,84.83264,68.48832
A,K,1,11,-370.91104,-299.01504,-310.38784,-321.6976,-359.03808,-350.59232,-416.06624,-340.95232,-422.05792,-472.06304,-508.10528,-521.21344,-571.66208,-615.55776,-610.77216,-590.90592
A,K,1,12,-109.95168,-109.80608,-74.0256,-37.01952,4.99584,-88.08864,-108.31968,-50.4,-61.3904,-125.312,-75.25824,-77.58752,-46.3888,-82.31584,-53.56704,-31.18528
A,K,1,13,218.30624,143.32608,200.75232,156.7008,167.56928,139.74912,148.03744,101.87072,121.08544,84.68992,98.76768,83.66656,114.35168,109.23104,109.66496,118.19904
A,K,1,14,60.0768,0.30528,29.4544,27.42496,38.65376,10.9184,2.85024,16.41632,44.39456,-6.59968,11.73536,14.04032,11.2048,33.40352,35.28896,53.97536
A,K,1,15,-207.9824,-175.29344,-208.64928,-203.59744,-231.43424,-226.06624,-313.47392,-227.8784,-226.80448,-268.13024,-247.7568,-275.57152,-291.75936,-330.26208,-293.39616,-299.24864
A,K,1,16,-20.50144,-14.29504,-19.45408,12.8944,-3.8384,-1.11936,-17.42592,12.12096,14.7152,0.19424,3.84544,38.808,5.6512,8.72704,6.39136,41.73856
